Epoch: 0, Phase: test, Loss: 423114.3438, month_mean: 2.312500, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 1, Phase: train, Loss: 0.6884, month_mean: 30.687500, half_year: 0.000000,  one_year: 0.062500,  two: 0.187500
Epoch: 1, Phase: val, Loss: 75103.8750, month_mean: 4.062500, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 1, Phase: test, Loss: 97336.9531, month_mean: 5.500000, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 0, Phase: train, Loss: 1.2428, month_mean: 31.437500, half_year: 0.000000,  one_year: 0.125000,  two: 0.187500
Epoch: 0, Phase: val, Loss: 402743.3125, month_mean: 0.562500, half_year: 0.000000,  one_year: 0.062500,  two: 0.062500
Epoch: 0, Phase: test, Loss: 443361.1562, month_mean: 1.750000, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 1, Phase: train, Loss: 0.9919, month_mean: 27.750000, half_year: 0.000000,  one_year: 0.062500,  two: 0.187500
Epoch: 1, Phase: val, Loss: 68072.9219, month_mean: 0.187500, half_year: 0.062500,  one_year: 0.062500,  two: 0.062500
Epoch: 1, Phase: test, Loss: 60717.7734, month_mean: 1.625000, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 0, Phase: train, Loss: 1.2375, month_mean: 31.250000, half_year: 0.062500,  one_year: 0.062500,  two: 0.125000
Epoch: 0, Phase: val, Loss: 488997.2812, month_mean: 0.312500, half_year: 0.062500,  one_year: 0.062500,  two: 0.062500
Epoch: 0, Phase: test, Loss: 357333.1875, month_mean: 1.750000, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 1, Phase: train, Loss: 0.8967, month_mean: 15.125000, half_year: 0.187500,  one_year: 0.187500,  two: 0.375000
Epoch: 1, Phase: val, Loss: 70167.9844, month_mean: 2.250000, half_year: 0.000000,  one_year: 0.000000,  two: 0.000000
Epoch: 1, Phase: test, Loss: 59423.3320, month_mean: 0.812500, half_year: 0.000000,  one_year: 0.000000,  two: 0.062500
